issue,ccn,provider_name,state,ownership_category,chain_name,detail
No PECOS enrollment matched to the CCN,025025,CENTENNIAL POST ACUTE,AK,For profit,PACS GROUP,
No PECOS enrollment matched to the CCN,025028,CORDOVA COMMUNITY MED LTC,AK,Government,,
No PECOS enrollment matched to the CCN,025030,PROVIDENCE KODIAK ISLAND MED LTC,AK,Non profit,,
No PECOS enrollment matched to the CCN,025035,UTUQQANAAT INAAT,AK,Non profit,,
No PECOS enrollment matched to the CCN,01A193,FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR,AL,Non profit,,
No PECOS enrollment matched to the CCN,01A208,MONTGOMERY CHILDREN'S SPECIALTY CENTER,AL,For profit,,
No PECOS enrollment matched to the CCN,04A293,Arkansas Health Center,AR,Government,,
No PECOS enrollment matched to the CCN,04E262,"MURFREESBORO REHAB AND NURSING, INC",AR,For profit,,
No PECOS enrollment matched to the CCN,035242,DR GUY GORMAN SR CARE HOME,AZ,Non profit,,
No PECOS enrollment matched to the CCN,555657,BELMONT HEALTHCARE CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,056150,CATERED MANOR CARE CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,555539,COALINGA REGIONAL MEDICAL CTR DP/SNF,CA,For profit,,
No PECOS enrollment matched to the CCN,05A024,CRESTWOOD MANOR,CA,For profit,,
No PECOS enrollment matched to the CCN,05A340,CRESTWOOD MANOR - 104,CA,For profit,,
No PECOS enrollment matched to the CCN,05A427,CRESTWOOD MANOR - FREMONT,CA,For profit,,
No PECOS enrollment matched to the CCN,05A408,CRESTWOOD TREATMENT CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A371,Crestwood Wellness and Recovery Center,CA,For profit,,
No PECOS enrollment matched to the CCN,555731,DEPT OF STATE HOSPITALS - METROPOLITAN  SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A357,DEPT OF STATE HOSPITALS - NAPA D/P SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A396,GARFIELD NEUROBEHAVIORAL CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A110,GRACE HOME INC.,CA,Non profit,,
No PECOS enrollment matched to the CCN,05A315,HAYES CONVALESCENT HOSPITAL,CA,For profit,,
No PECOS enrollment matched to the CCN,05A292,HELEN BERNARDY CENTER D/P SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A277,INSPIRE BEHAVIORAL HEALTH,CA,For profit,,
No PECOS enrollment matched to the CCN,05A355,LA PAZ GEROPSYCHIATRIC CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A134,LANDMARK MEDICAL CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A137,LAUREL PARK BEHAVIORAL HEALTH CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A269,MEADOWBROOK BEHAVIORAL HEALTH CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A147,Merced Behavioral Center,CA,For profit,,
No PECOS enrollment matched to the CCN,05A360,PENN MAR HEALTHCARE CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,555939,PLUMAS DISTRICT HOSPITAL DP/SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A263,RIVERSIDE BEHAVIORAL HEALTHCARE CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,555022,SENECA DISTRICT HOSPITAL D/P SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A290,ST. ANNE'S HOME,CA,Non profit,,
No PECOS enrollment matched to the CCN,555221,SURPRISE VALLEY COMMUNITY HOSPITAL D/P SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A208,Shandin Hills Behavior Therapy Center,CA,For profit,,
No PECOS enrollment matched to the CCN,05A027,Sierra Vista,CA,For profit,,
No PECOS enrollment matched to the CCN,05A192,THE ROYAL HOME,CA,For profit,,
No PECOS enrollment matched to the CCN,056417,VIEW HEIGHTS CONV HOSP,CA,For profit,,
No PECOS enrollment matched to the CCN,555780,VILLA DEL RIO GARDENS,CA,For profit,,
No PECOS enrollment matched to the CCN,05A364,VILLA SIENA,CA,Non profit,,
No PECOS enrollment matched to the CCN,05A264,VISTA PACIFICA CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,555589,WHITTIER HOSPITAL MEDICAL CTR D/P SNF,CA,For profit,,
No PECOS enrollment matched to the CCN,06A192,CHEYENNE MANOR,CO,Government,,
No PECOS enrollment matched to the CCN,06A172,PARK FOREST CARE CENTER LLC,CO,For profit,,
No PECOS enrollment matched to the CCN,065278,PELICAN POINTE HEALTH AND REHABILITATION CENTER,CO,For profit,THE ENSIGN GROUP,
No PECOS enrollment matched to the CCN,06A173,SEDGWICK COUNTY MEMORIAL NURSING HOME,CO,Government,,
No PECOS enrollment matched to the CCN,06A185,SOUTHEAST COLORADO HOSPITAL LTC,CO,Non profit,,
No PECOS enrollment matched to the CCN,06A190,SPANISH PEAKS VETERANS COMMUNITY LIVING CENTER,CO,Government,,
No PECOS enrollment matched to the CCN,06A175,WALSH HEALTHCARE CENTER,CO,Government,,
No PECOS enrollment matched to the CCN,075258,DOUGLAS MANOR,CT,For profit,RYDERS HEALTH MANAGEMENT,
No PECOS enrollment matched to the CCN,075113,GREENTREE MANOR NURSING AND REHABILITATION CENTER,CT,For profit,,
No PECOS enrollment matched to the CCN,075159,NORWALK CARE CENTER,CT,For profit,HIGHBRIDGE HEALTHCARE,
No PECOS enrollment matched to the CCN,075250,PARKVILLE CARE CENTER,CT,For profit,ICARE HEALTH NETWORK,
No PECOS enrollment matched to the CCN,075198,VILLAGE GREEN REHABILITATION AND HEALTHCARE CENTER,CT,For profit,ATLAS HEALTHCARE,
No PECOS enrollment matched to the CCN,075201,WEST HAVEN CENTER FOR NURSING & REHABILITATION,CT,For profit,ESSENTIAL HEALTHCARE,
No PECOS enrollment matched to the CCN,09E020,JEANNE JUGAN RESIDENCE,DC,Non profit,,
No PECOS enrollment matched to the CCN,085034,EXCELCARE AT LEWES LLC,DE,For profit,EXCELCARE,
No PECOS enrollment matched to the CCN,085002,EXCELCARE AT WILMINGTON LLC,DE,For profit,EXCELCARE,
No PECOS enrollment matched to the CCN,08A015,EXCEPTIONAL CARE FOR CHILDREN,DE,Non profit,,
No PECOS enrollment matched to the CCN,08A006,JEANNE JUGAN RESIDENCE,DE,Non profit,,
No PECOS enrollment matched to the CCN,08A020,NEWARK MANOR NURSING HOME,DE,For profit,,
No PECOS enrollment matched to the CCN,105419,AVIATA AT OLDSMAR,FL,For profit,,
No PECOS enrollment matched to the CCN,105477,BAY POINTE NURSING PAVILION,FL,For profit,FLORIDA INSTITUTE FOR LONG-TERM CARE,
No PECOS enrollment matched to the CCN,105219,BOCA RATON REHABILITATION CENTER,FL,Non profit,FLORIDA INSTITUTE FOR LONG-TERM CARE,
No PECOS enrollment matched to the CCN,105553,CARROLLWOOD CARE CENTER,FL,For profit,FLORIDA INSTITUTE FOR LONG-TERM CARE,
No PECOS enrollment matched to the CCN,106110,CHILDRENS COMPREHENSIVE CARE CENTER INC,FL,Non profit,,
No PECOS enrollment matched to the CCN,105397,EVERGREEN WOODS,FL,Non profit,FLORIDA INSTITUTE FOR LONG-TERM CARE,
No PECOS enrollment matched to the CCN,105539,HEALTHCARE AND REHAB OF SANFORD,FL,Non profit,,
No PECOS enrollment matched to the CCN,105342,REHAB & HEALTHCARE CENTER OF CAPE CORAL,FL,Non profit,FLORIDA INSTITUTE FOR LONG-TERM CARE,
No PECOS enrollment matched to the CCN,105234,REHABILITATION AND HEALTHCARE CENTER OF TAMPA,FL,Non profit,FLORIDA INSTITUTE FOR LONG-TERM CARE,
No PECOS enrollment matched to the CCN,105039,"Rehabilitation Center of The Palm Beaches, The",FL,Non profit,FLORIDA INSTITUTE FOR LONG-TERM CARE,
No PECOS enrollment matched to the CCN,105155,SARASOTA HEALTH AND REHABILITATION CENTER,FL,Non profit,FLORIDA INSTITUTE FOR LONG-TERM CARE,
No PECOS enrollment matched to the CCN,105319,SUN TERRACE HEALTH CARE CENTER,FL,For profit,,
No PECOS enrollment matched to the CCN,105448,TITUSVILLE REHABILITATION & NURSING CENTER,FL,For profit,FLORIDA INSTITUTE FOR LONG-TERM CARE,
No PECOS enrollment matched to the CCN,105623,WEST GABLES HEALTH CARE CENTER,FL,For profit,MARQUIS HEALTH SERVICES,
No PECOS enrollment matched to the CCN,105568,WINDSOR WOODS REHAB AND HEALTHCARE CENTER,FL,Non profit,FLORIDA INSTITUTE FOR LONG-TERM CARE,
No PECOS enrollment matched to the CCN,105882,WINKLER COURT,FL,Non profit,FLORIDA INSTITUTE FOR LONG-TERM CARE,
No PECOS enrollment matched to the CCN,115690,"D SCOTT HUDGENS CENTER FOR SKILLED NURSING, THE",GA,Non profit,,
No PECOS enrollment matched to the CCN,11A200,GRACEWOOD NSG FACILITY(UNIT 9),GA,Government,,
No PECOS enrollment matched to the CCN,11A186,Georgia Regional Atlanta LTC,GA,Government,,
No PECOS enrollment matched to the CCN,115579,"Healthcare at College Park, LLC",GA,For profit,,
No PECOS enrollment matched to the CCN,115351,MUSCOGEE MANOR & REHABILITATION CTR,GA,Government,,
No PECOS enrollment matched to the CCN,115478,RIDGECREST REHAB & SKILLED NURSING CENTER,GA,Government,,
No PECOS enrollment matched to the CCN,165273,Accura Healthcare of South Des Moines,IA,For profit,,
No PECOS enrollment matched to the CCN,16E050,Buchanan County Health Center,IA,Government,,
No PECOS enrollment matched to the CCN,16A001,Childserve Habilitation Center,IA,Non profit,,
No PECOS enrollment matched to the CCN,16E170,Franklin General Hospital,IA,Government,,
No PECOS enrollment matched to the CCN,16E637,Hegg Memorial Health Center,IA,Non profit,,
No PECOS enrollment matched to the CCN,16E718,Humboldt County Memorial Hospital,IA,Government,,
No PECOS enrollment matched to the CCN,16A002,Iowa Veterans Home,IA,Government,,
No PECOS enrollment matched to the CCN,16E728,MercyOne Centerville Medical Center,IA,Non profit,,
No PECOS enrollment matched to the CCN,16E638,MercyOne Dyersville Senior Care,IA,Non profit,,
No PECOS enrollment matched to the CCN,16E761,Osceola Senior Living,IA,For profit,,
No PECOS enrollment matched to the CCN,16E668,Palo Alto County Hospital,IA,Government,,
No PECOS enrollment matched to the CCN,16E263,Sanford Senior Care Sheldon,IA,Non profit,,
No PECOS enrollment matched to the CCN,16E277,Story Medical Senior Care,IA,Government,,
No PECOS enrollment matched to the CCN,16E016,"Virginia Gay Nursing & Rehab, LLC",IA,Non profit,,
No PECOS enrollment matched to the CCN,145811,ARCADIA CARE PEORIA HEIGHTS,IL,For profit,ARCADIA CARE,
No PECOS enrollment matched to the CCN,14E264,AVENUES AT LITCHFIELD,IL,For profit,,
No PECOS enrollment matched to the CCN,14E361,AVENUES AT QUAD CITIES,IL,For profit,,
No PECOS enrollment matched to the CCN,14E847,AVENUES AT SPRINGFIELD,IL,For profit,,
No PECOS enrollment matched to the CCN,14E701,BIG MEADOWS,IL,For profit,,
No PECOS enrollment matched to the CCN,14E095,Batavia Rehabilitation and Health Care Center,IL,For profit,,
No PECOS enrollment matched to the CCN,14E177,CRESTWOOD TERRACE,IL,For profit,,
No PECOS enrollment matched to the CCN,14E848,DECATUR REHAB & HEALTH CARE CT,IL,For profit,,
No PECOS enrollment matched to the CCN,14E345,FAIRHAVEN CHRISTIAN RET CENTER,IL,Non profit,,
No PECOS enrollment matched to the CCN,14E212,FRANKFORT TERRACE,IL,For profit,,
No PECOS enrollment matched to the CCN,14A357,HERITAGE SQUARE,IL,Non profit,,
No PECOS enrollment matched to the CCN,14A383,HIGHLAND OAKS,IL,Non profit,,
No PECOS enrollment matched to the CCN,14E247,Joliet Living & Rehab Center,IL,For profit,,
No PECOS enrollment matched to the CCN,14E579,La Bella of Sterling,IL,For profit,,
No PECOS enrollment matched to the CCN,145964,MCLEANSBORO REHAB & HLTH C CTR,IL,For profit,,
No PECOS enrollment matched to the CCN,14E306,NORTH AURORA LIVING & REHAB CTR,IL,For profit,,
No PECOS enrollment matched to the CCN,145818,ROCK RIVER HEALTH CARE,IL,For profit,SABA HEALTHCARE,
No PECOS enrollment matched to the CCN,14E322,SHARON HEALTH CARE PINES,IL,For profit,,
No PECOS enrollment matched to the CCN,14E888,SHARON HEALTH CARE WILLOWS,IL,For profit,,
No PECOS enrollment matched to the CCN,14E169,WINSTON MANOR CNV & NURSING,IL,For profit,,
No PECOS enrollment matched to the CCN,14E392,West Chicago Living and Rehab Center,IL,For profit,,
No PECOS enrollment matched to the CCN,15E064,BROOKSIDE CARE STRATEGIES,IN,For profit,,
No PECOS enrollment matched to the CCN,155480,ENVIVE OF BROOKVILLE,IN,Non profit,,
No PECOS enrollment matched to the CCN,15A011,ESPECIALLY KIDZ HEALTH & REHAB,IN,Government,,
No PECOS enrollment matched to the CCN,15E683,MORGANTOWN WOODS OF JOURNEY,IN,Government,,
No PECOS enrollment matched to the CCN,155827,Sage Bluff Health and Rehab Center,IN,For profit,,
No PECOS enrollment matched to the CCN,17E210,ACCESS MENTAL HEALTH,KS,For profit,,
No PECOS enrollment matched to the CCN,17E577,ANDERSON COUNTY HOSPITAL LTCU,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E630,ANTHONY COMMUNITY CARE CENTER,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E534,ATTICA LONG TERM CARE FACILITY,KS,Government,,
No PECOS enrollment matched to the CCN,17E256,BRIGHTON PLACE NORTH,KS,For profit,,
No PECOS enrollment matched to the CCN,17E242,COMMUNITY HOSPITAL ONAGA LTCU,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E528,COUNTRYSIDE HEALTH CENTER,KS,For profit,,
No PECOS enrollment matched to the CCN,17E451,DAWSON PLACE,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E585,DOOLEY CENTER,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E294,F W HUSTON MEDICAL CENTER,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E071,GREELEY COUNTY HOSPITAL LTCU,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E038,"HAVILAND OPERATOR, LLC",KS,For profit,,
No PECOS enrollment matched to the CCN,17E531,KEARNY COUNTY HOSPITAL LTCU,KS,Government,,
No PECOS enrollment matched to the CCN,17E597,KIOWA HOSPITAL DISTRICT MANOR,KS,Government,,
No PECOS enrollment matched to the CCN,17E026,MEADE DISTRICT HOSP LTCU DBA LONE TREE RETIREMENT,KS,For profit,,
No PECOS enrollment matched to the CCN,17E470,MINNEOLA DISTRICT HOSPITAL LTCU,KS,Government,,
No PECOS enrollment matched to the CCN,17E625,NESS COUNTY HOSPITAL LTCU DBA CEDAR VILLAGE,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E658,PHILLIPS COUNTY RETIREMENT CENTER,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E580,PIONEER LODGE,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E034,PROTECTION VALLEY MANOR,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E619,RUSSELL REGIONAL HOSPITAL LTCU,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E424,SHERIDAN COUNTY HOSPITAL LTCU,KS,Non profit,,
No PECOS enrollment matched to the CCN,17E637,SOLOMON VALLEY MANOR,KS,Government,,
No PECOS enrollment matched to the CCN,17A029,ST LUKE LIVING CENTER,KS,Government,,
No PECOS enrollment matched to the CCN,17E445,STANTON COUNTY HEALTH CARE FACILITY LTCU,KS,Government,,
No PECOS enrollment matched to the CCN,17E546,STEVENS COUNTY HOSPITAL LTCU DBA PIONEER MANOR,KS,Government,,
No PECOS enrollment matched to the CCN,17A020,TREGO CO-LEMKE MEMORIAL HOSPITAL LTCU,KS,Government,,
No PECOS enrollment matched to the CCN,17E011,WICHITA COUNTY HEALTH CENTER LTCU,KS,Government,,
No PECOS enrollment matched to the CCN,185154,Home of the Innocents,KY,Non profit,,
No PECOS enrollment matched to the CCN,185316,Princeton Nursing & Rehabilitation,KY,For profit,SIMCHA HYMAN & NAFTALI ZANZIPER,
No PECOS enrollment matched to the CCN,225455,CRANEVILLE REHABILITATION AND SKILLED CARE CENTER,MA,For profit,BANECARE MANAGEMENT,
No PECOS enrollment matched to the CCN,225541,Carlyle House,MA,For profit,,
No PECOS enrollment matched to the CCN,225134,FOREMOST AT SHARON LLC,MA,For profit,,
No PECOS enrollment matched to the CCN,225449,HATHORNE HILL REHABILITATION AND HEALTHCARE CENTER,MA,For profit,ATLAS HEALTHCARE,
No PECOS enrollment matched to the CCN,225297,LIGHTHOUSE REHABILITATION AND HEALTHCARE CENTER,MA,For profit,MARQUIS HEALTH SERVICES,
No PECOS enrollment matched to the CCN,225229,MAPLEWOOD CENTER,MA,For profit,,
No PECOS enrollment matched to the CCN,225218,OXFORD REHABILITATION & HEALTH CARE CENTER,MA,For profit,ATHENA HEALTHCARE SYSTEMS,
No PECOS enrollment matched to the CCN,225679,ROYAL MEGANSETT NURSING & REHABILITATION,MA,For profit,ROYAL HEALTH GROUP,
No PECOS enrollment matched to the CCN,225400,RegalCare at Wakefield,MA,For profit,VANTAGE CARE,
No PECOS enrollment matched to the CCN,225147,SAUGUS CENTER,MA,For profit,,
No PECOS enrollment matched to the CCN,225014,SPAULDING NURSING AND THERAPY CENTER - BRIGHTON,MA,Non profit,,
No PECOS enrollment matched to the CCN,225293,Southbridge Rehabilitation & Health Care Center,MA,For profit,ATHENA HEALTHCARE SYSTEMS,
No PECOS enrollment matched to the CCN,225382,THE GUARDIAN CENTER,MA,For profit,BEST CARE SERVICES,
No PECOS enrollment matched to the CCN,225198,TWIN OAKS CENTER,MA,For profit,,
No PECOS enrollment matched to the CCN,225380,Vantage at Westfield LLC,MA,For profit,VANTAGE CARE,
No PECOS enrollment matched to the CCN,225533,WACHUSETT MANOR,MA,For profit,EPHRAM LAHASKY,
No PECOS enrollment matched to the CCN,225184,WEBSTER PARK REHABILITATION AND HEALTHCARE CENTER,MA,For profit,MARQUIS HEALTH SERVICES,
No PECOS enrollment matched to the CCN,225199,Worcester Rehabilitation & Health Care Center,MA,For profit,ATHENA HEALTHCARE SYSTEMS,
No PECOS enrollment matched to the CCN,21E009,SACRED HEART HOME INC,MD,Non profit,,
No PECOS enrollment matched to the CCN,21E104,ST. JOSEPH'S  NURSING  HOME,MD,Non profit,,
No PECOS enrollment matched to the CCN,205020,Bangor Nursing & Rehabilitation Center,ME,Non profit,,
No PECOS enrollment matched to the CCN,205132,DURGIN PINES,ME,For profit,,
No PECOS enrollment matched to the CCN,205122,HARBOR HILL CENTER,ME,For profit,GENESIS HEALTHCARE,
No PECOS enrollment matched to the CCN,205139,MAINEGENERAL REHAB & LONG TERM CARE - GLENRIDGE,ME,Non profit,,
No PECOS enrollment matched to the CCN,205054,MAINEGENERAL REHAB & LONG TERM CARE - GRAY BIRCH,ME,Non profit,,
No PECOS enrollment matched to the CCN,205031,ORONO COMMONS,ME,For profit,GENESIS HEALTHCARE,
No PECOS enrollment matched to the CCN,205074,Seaside Healthcare LLC,ME,For profit,FIRST ATLANTIC HEALTHCARE,
No PECOS enrollment matched to the CCN,23E104,The Gilbert Residence,MI,Non profit,,
No PECOS enrollment matched to the CCN,24E355,AFTENRO HOME,MN,Non profit,,
No PECOS enrollment matched to the CCN,24E116,ANDREW RESIDENCE,MN,For profit,,
No PECOS enrollment matched to the CCN,245583,AUBURN HOME IN WACONIA,MN,Non profit,,
No PECOS enrollment matched to the CCN,245224,AUGUSTANA CARE HASTINGS HEALTH AND REHABILITATION,MN,Non profit,CASSIA,
No PECOS enrollment matched to the CCN,245310,BENEDICTINE HEALTH CENTER INNSBRUCK,MN,Non profit,BENEDICTINE HEALTH SYSTEM,
No PECOS enrollment matched to the CCN,24E166,BIRCHWOOD CARE HOME,MN,For profit,,
No PECOS enrollment matched to the CCN,24E185,BYWOOD EAST HEALTH CARE,MN,For profit,,
No PECOS enrollment matched to the CCN,245255,CERENITY CARE CENTER ON HUMBOLDT,MN,Non profit,,
No PECOS enrollment matched to the CCN,245365,CERENITY MARIAN OF ST PAUL LLC,MN,Non profit,,
No PECOS enrollment matched to the CCN,245244,CURA OF LONG PRAIRIE,MN,Non profit,CURA,
No PECOS enrollment matched to the CCN,245396,CURA OF MELROSE,MN,Non profit,CURA,
No PECOS enrollment matched to the CCN,245454,CURA OF SANDSTONE,MN,Non profit,CURA,
No PECOS enrollment matched to the CCN,245410,CURA OF WILLMAR,MN,Non profit,CURA,
No PECOS enrollment matched to the CCN,245579,ESSENTIA HEALTH GRACE HOME,MN,Non profit,ESSENTIA HEALTH,
No PECOS enrollment matched to the CCN,245258,Franciscan Health Center,MN,Non profit,ST. FRANCIS HEALTH SERVICES,
No PECOS enrollment matched to the CCN,24E150,GRAND AVENUE REST HOME,MN,For profit,,
No PECOS enrollment matched to the CCN,245536,GREEN LEA SENIOR LIVING,MN,For profit,ACCURA HEALTHCARE,
No PECOS enrollment matched to the CCN,245239,GUARDIAN ANGELS HEALTH & REHAB CENTER,MN,Non profit,ST. FRANCIS HEALTH SERVICES,
No PECOS enrollment matched to the CCN,245381,HARMONY GARDENS,MN,Non profit,CASSIA,
No PECOS enrollment matched to the CCN,245397,HAVENWOOD CARE CENTER,MN,For profit,,
No PECOS enrollment matched to the CCN,24E508,HAYES RESIDENCE,MN,For profit,,
No PECOS enrollment matched to the CCN,245606,HOPE SPRINGS AT MINNETONKA,MN,For profit,,
No PECOS enrollment matched to the CCN,245245,Heritage Manor,MN,Non profit,ST. FRANCIS HEALTH SERVICES,
No PECOS enrollment matched to the CCN,245468,KARLSTAD HEALTHCARE CENTER INC,MN,For profit,ACCURA HEALTHCARE,
No PECOS enrollment matched to the CCN,245420,LAKEWOOD HEALTH SYSTEM,MN,Non profit,,
No PECOS enrollment matched to the CCN,245470,LIFECEARE ROSEAU MANOR,MN,Non profit,,
No PECOS enrollment matched to the CCN,245153,MADONNA TOWERS OF ROCHESTER,MN,Non profit,BENEDICTINE HEALTH SYSTEM,
No PECOS enrollment matched to the CCN,245238,MAHNOMEN HEALTH CENTER,MN,Government,,
No PECOS enrollment matched to the CCN,245218,MAYO CLINIC HEALTH SYSTEM - LAKE CITY,MN,Non profit,,
No PECOS enrollment matched to the CCN,245367,MEADOW MANOR,MN,For profit,ACCURA HEALTHCARE,
No PECOS enrollment matched to the CCN,24E102,MOUNT OLIVET HOME,MN,Non profit,,
No PECOS enrollment matched to the CCN,245183,NORTH RIDGE HEALTH AND REHAB,MN,For profit,MISSION HEALTH COMMUNITIES,
No PECOS enrollment matched to the CCN,245490,OAK HILLS LIVING CENTER,MN,Non profit,,
No PECOS enrollment matched to the CCN,245390,PATHSTONE LIVING,MN,Non profit,ECUMEN,
No PECOS enrollment matched to the CCN,245556,PRESBYTERIAN HOMES OF BLOOMINGTON,MN,Non profit,PRESBYTERIAN HOMES & SERVICES,
No PECOS enrollment matched to the CCN,24E507,SOUTHSIDE CARE CENTER,MN,For profit,,
No PECOS enrollment matched to the CCN,245291,ST CLARE LIVING COMMUNITY OF MORA,MN,Non profit,,
No PECOS enrollment matched to the CCN,245495,THE EMERALDS AT GRAND RAPIDS LLC,MN,For profit,MONARCH HEALTHCARE MANAGEMENT,
No PECOS enrollment matched to the CCN,245295,THE EMERALDS AT ST PAUL LLC,MN,For profit,MONARCH HEALTHCARE MANAGEMENT,
No PECOS enrollment matched to the CCN,245483,THE NORTH SHORE ESTATES LLC,MN,For profit,MONARCH HEALTHCARE MANAGEMENT,
No PECOS enrollment matched to the CCN,245414,VIEWCREST HEALTH CENTER,MN,Non profit,ST. FRANCIS HEALTH SERVICES,
No PECOS enrollment matched to the CCN,26A293,CLARA MANOR NURSING HOME,MO,For profit,,
No PECOS enrollment matched to the CCN,26A490,FIESER NURSING CENTER,MO,For profit,,
No PECOS enrollment matched to the CCN,26A443,HOPE CARE CENTER,MO,Non profit,,
No PECOS enrollment matched to the CCN,26A292,JEANNE JUGAN CENTER,MO,Non profit,,
No PECOS enrollment matched to the CCN,26E256,JOHNSON COUNTY CARE CENTER,MO,For profit,,
No PECOS enrollment matched to the CCN,26E421,MADISON MEDICAL CENTER,MO,Government,,
No PECOS enrollment matched to the CCN,26E084,MYERS NURSING & CONVALESCENT CENTER,MO,For profit,,
No PECOS enrollment matched to the CCN,26A381,SALEM MEMORIAL DISTRICT HOSPITAL,MO,Non profit,,
No PECOS enrollment matched to the CCN,26A378,"SYLVIA G THOMPSON RESIDENCE CENTER, INC",MO,Non profit,,
No PECOS enrollment matched to the CCN,25E211,ALYCE G CLARKE CENTER FOR MEDICALLY FRAGILE CHILDR,MS,Government,,
No PECOS enrollment matched to the CCN,25A233,"BAPTIST NURSING HOME-CALHOUN, INC",MS,Non profit,,
No PECOS enrollment matched to the CCN,25A416,BEDFORD ALZHEIMER'S CARE CENTER,MS,For profit,,
No PECOS enrollment matched to the CCN,25A188,BOLIVAR MEDICAL CENTER LTC,MS,For profit,,
No PECOS enrollment matched to the CCN,25A418,JAMES T CHAMPION,MS,Government,,
No PECOS enrollment matched to the CCN,25A178,JASPER COUNTY NH,MS,Government,,
No PECOS enrollment matched to the CCN,25A402,JNH-JEFFERSON INN,MS,Government,,
No PECOS enrollment matched to the CCN,25A404,JNH-MADISON INN,MS,Government,,
No PECOS enrollment matched to the CCN,25A197,Jnh-Jaquith Inn,MS,Government,,
No PECOS enrollment matched to the CCN,25A414,METHODIST SEPCIALTY CARE CENTER,MS,Non profit,,
No PECOS enrollment matched to the CCN,25A374,NOXUBEE COUNTY NURSING HOME,MS,Government,,
No PECOS enrollment matched to the CCN,255353,OAK GROVE RETIREMENT HOME,MS,For profit,,
No PECOS enrollment matched to the CCN,25A380,PONTOTOC NURSING HOME,MS,Non profit,,
No PECOS enrollment matched to the CCN,25A123,REGINALD P WHITE NURSING FACILITY,MS,Government,,
No PECOS enrollment matched to the CCN,25A162,SHEARER-RICHARDSON MEMORIAL NURSING HOME,MS,Government,,
No PECOS enrollment matched to the CCN,25A190,TALLAHATCHIE GENERAL HOSP ECF,MS,Government,,
No PECOS enrollment matched to the CCN,25A422,WALTER B CROOK NURSING FACILITY,MS,Government,,
No PECOS enrollment matched to the CCN,25A389,WEBSTER HEALTH SERVICES NURSING FACILTY,MS,Non profit,,
No PECOS enrollment matched to the CCN,25A174,YALOBUSHA COUNTY NURSING HOME,MS,Government,,
No PECOS enrollment matched to the CCN,275133,BLACKFEET CARE CENTER,MT,For profit,,
No PECOS enrollment matched to the CCN,275073,FAITH LUTHERAN HOME,MT,Non profit,,
No PECOS enrollment matched to the CCN,27A052,MONTANA MENTAL HEALTH NURSING HOME,MT,Government,,
No PECOS enrollment matched to the CCN,34A001,Black Mountain Neuro-Medical Treatment Center,NC,Government,,
No PECOS enrollment matched to the CCN,345581,Bloomsbury at Hayes Barton Place,NC,For profit,,
No PECOS enrollment matched to the CCN,345123,Carolina Village Inc,NC,Non profit,,
No PECOS enrollment matched to the CCN,345192,Longleaf Neuro-Medical Treatment Center,NC,Government,,
No PECOS enrollment matched to the CCN,34A002,O'Berry Neuro-Medical Treatment Center,NC,Government,,
No PECOS enrollment matched to the CCN,345301,White Oak Manor - Burlington,NC,For profit,,
No PECOS enrollment matched to the CCN,285081,CHI Health St. Francis,NE,Non profit,,
No PECOS enrollment matched to the CCN,28A065,Carl T Curtis Health Education Center Nursing Home,NE,Government,,
No PECOS enrollment matched to the CCN,28E180,Garden County Hospital & Nursing Home,NE,Government,,
No PECOS enrollment matched to the CCN,28E271,Genoa Community Hospital/LTC,NE,Government,,
No PECOS enrollment matched to the CCN,28E257,Gordon Countryside Care,NE,Government,,
No PECOS enrollment matched to the CCN,28E299,Hillcrest Shadow Lake LLC,NE,For profit,,
No PECOS enrollment matched to the CCN,28E173,Legacy Square,NE,For profit,,
