chain_status,facilities,facilities_with_reported_hours,pct_at_or_above_rn_floor,pct_at_or_above_aide_floor,pct_at_or_above_total_floor,pct_at_or_above_all_three,facilities_at_or_above_all_three,avg_total_nurse_hprd,avg_rn_hprd,avg_aide_hprd
In a CMS-identified chain,10116,9971,51.7,24.2,58.3,14.3,1429,3.7,0.63,2.21
Not in a chain,4574,4317,62.5,52.4,77.2,38.9,1681,4.24,0.81,2.57
